iter	Passed	Remaining
130	12262	81341
131	12340	81150
132	12423	80985
133	12502	80798
134	12579	80604
135	12649	80363
136	12735	80226
137	12816	80057
138	12892	79860
139	12972	79687
140	13051	79509
141	13115	79245
142	13187	79030
143	13271	78891
144	13356	78755
145	13439	78612
146	13536	78546
147	13624	78435
148	13706	78281
149	13792	78156
150	13878	78030
151	13954	77851
152	14032	77685
153	14108	77507
154	14185	77333
155	14262	77166
156	14397	77305
157	14493	77239
158	14585	77148
159	14663	76984
160	14746	76846
161	14836	76749
162	14925	76641
163	15020	76566
164	15097	76402
165	15183	76283
166	15281	76224
167	15374	76139
168	15449	75965
169	15543	75888
170	15618	75715
171	15710	75628
172	15796	75510
173	15873	75352
174	15964	75259
175	16081	75291
176	16182	75242
177	16297	75259
178	16392	75186
179	16480	75075
180	16576	75006
181	16679	74966
182	16778	74907
183	16919	75036
184	17059	75152
185	17230	75408
186	17439	75820
187	17567	75874
188	17679	75861
189	17801	75892
190	17933	75959
191	18066	76031
192	18160	75935
193	18242	75790
194	18331	75674
195	18403	75493
196	18498	75403
197	18595	75320
198	18689	75229
199	18780	75123
200	18860	74971
201	18945	74843
202	19023	74687
203	19112	74575
204	19193	74431
205	19332	74513
206	19430	74436
207	19506	74274
208	19595	74162
209	19700	74109
210	19794	74018
211	19876	73880
212	19971	73792
213	20049	73639
214	20133	73509
215	20278	73603
216	20478	73892
217	20734	74379
218	20976	74807
219	21115	74865
220	21197	74718
221	21261	74510
222	21341	74359
223	21521	74558
224	21747	74907
225	21875	74919
226	21955	74764
227	22085	74779
228	22304	75093
229	22494	75308
230	22579	75165
231	22659	75009
232	22750	74892
233	22966	75179
234	23177	75450
235	23273	75341
236	23363	75215
237	23463	75123
238	23545	74970
239	23637	74851
240	23717	74695
241	23795	74531
242	23867	74353
243	23956	74225
244	24047	74104
245	24139	73987
246	24236	73886
247	24320	73745
248	24410	73623
249	24501	73503
250	24593	73389
251	24667	73220
252	24762	73113
253	24874	73057
254	24973	72962
255	25125	73022
256	25225	72927
257	25310	72793
258	25393	72650
259	25486	72537
260	25563	72381
261	25635	72210
262	25710	72049
263	25791	71904
264	25881	71784
265	25975	71676
266	26063	71552
267	26143	71407
268	26253	71342
269	26333	71197
270	26417	71063
271	26502	70934
272	26594	70821
273	26679	70690
274	26798	70649
275	26944	70681
276	27045	70592
277	27143	70495
278	27238	70390
279	27332	70283
280	27430	70186
281	27514	70053
282	27601	69930
283	27693	69819
284	27787	69713
285	27882	69609
286	27970	69488
287	28051	69349
288	28140	69232
289	28236	69129
290	28359	69094
291	28474	69041
292	28561	68918
293	28667	68841
294	28791	68807
295	28948	68850
296	29087	68849
297	29326	69085
298	29473	69099
299	29563	68981
300	29651	68858
301	29724	68700
302	29829	68617
303	30031	68757
304	30186	68784
305	30270	68652
306	30363	68541
307	30451	68416
308	30532	68278
309	30617	68147
310	30694	68001
311	30777	67869
312	30863	67740
313	30970	67661
314	31108	67647
315	31263	67672
316	31350	67546
317	31430	67406
318	31509	67266
319	31584	67117
320	31666	66982
321	31748	66849
322	31825	66706
323	31907	66571
324	31990	66440
325	32079	66323
326	32171	66212
327	32260	66094
328	32344	65966
329	32427	65838
330	32513	65713
331	32595	65584
332	32687	65473
333	32764	65333
334	32878	65265
335	33022	65258
336	33119	65157
337	33218	65060
338	33311	64951
339	33414	64864
340	33499	64738
341	33591	64628
342	33679	64511
343	33764	64388
344	33861	64287
345	33958	64187
346	34037	64054
347	34137	63958
348	34223	63838
349	34313	63724
350	34433	63667
351	34524	63556
352	34619	63452
353	34721	63361
354	34807	63241
355	34921	63172
356	35056	63140
357	35227	63172
358	35380	63172
359	35518	63143
360	35631	63070
361	35767	63037
362	35944	63076
363	36094	63066
364	36228	63026
365	36319	62914
366	36408	62797
367	36526	62729
368	36689	62739
369	36882	62799
370	37067	62845
371	37153	62721
372	37233	62587
373	37334	62490
374	37532	62553
375	37634	62456
376	37712	62320
377	37790	62184
378	37876	62060
379	38119	62194
380	38213	62084
381	38291	61948
382	38394	61852
383	38608	61933
384	38687	61800
385	38913	61899
386	39132	61984
387	39224	61870
388	39305	61736
389	39387	61605
390	39467	61473
391	39544	61333
392	39679	61285
393	39912	61387
394	40093	61409
395	40173	61274
396	40244	61127
397	40322	60990
398	40405	60860
